country,countryname,party,abbrev,name,name_english,year_min,year_max,is_alliance,max_pervote,max_presvote
11,"Sweden",11110,"MP","MiljÃ¶partiet de GrÃ¶na","Green Ecology Party",1988,2018,0,7.3400002,
11,"Sweden",11220,"V","VÃ¤nsterpartiet","Left Party",1944,2018,0,11.99,
11,"Sweden",11320,"SAP","Socialdemokratiska Arbetareparti","Social Democratic Labour Party",1944,2018,0,50.116001,
11,"Sweden",11420,"L","Liberalerna","Liberals",1944,2018,0,24.441999,
11,"Sweden",11520,"Kd","Kristdemokraterna","Christian Democrats",1985,2018,0,11.77,
11,"Sweden",11620,"MSP","Moderata Samlingspartiet","Moderate Coalition Party",1944,2018,0,30.059999,
11,"Sweden",11710,"SD","Sverigedemokraterna","Sweden Democrats",2010,2018,0,17.534,
11,"Sweden",11810,"CP","Centerpartiet","Centre Party",1944,2018,0,25.101,
11,"Sweden",11951,"NyD","Ny Demokrati","New Democracy",1991,1991,0,6.7319999,
12,"Norway",12110,"MDG","MiljÃ¸partiet De GrÃ¸nna","Green Party",2013,2017,0,3.2390001,
12,"Norway",12220,"NKP","Norges Kommunistiske Parti","Norwegian Communist Party",1945,1957,0,11.886,
12,"Norway",12221,"SV","Sosialistisk Venstreparti","Socialist Left Party",1961,2017,0,12.548,
12,"Norway",12230,"","RÃ¸dt","Red Party",2017,2017,0,2.4089999,
12,"Norway",12320,"Ap","Arbeiderpartiet","Labour Party",1945,2017,0,48.331001,
12,"Norway",12410,"DLF","Det Liberale Folkeparti","Liberal Peopleâ€™s Party",1973,1973,0,3.4319999,
12,"Norway",12420,"V","Venstre","Liberal Party",1945,2017,0,14.75,
12,"Norway",12520,"KrF","Kristelig Folkeparti","Christian Peopleâ€™s Party",1945,2017,0,13.66,
12,"Norway",12620,"H","HÃ¸yre","Conservative Party",1945,2017,0,31.739,
12,"Norway",12810,"Sp","Senterpartiet","Centre Party",1945,2017,0,16.742001,
12,"Norway",12951,"FrP","Fremskrittspartiet","Progress Party",1973,2017,0,22.91,
13,"Denmark",13001,"","Liberal Alliance","Liberal Alliance",2007,2019,0,7.5339999,
13,"Denmark",13110,"","Alternativet","Alternativ",2015,2019,0,4.796,
13,"Denmark",13210,"VS","Venstresocialisterne","Left Socialist Party",1968,1984,0,3.6600001,
13,"Denmark",13220,"DKP","Danmarks Kommunistiske Parti","Danish Communist Party",1945,1984,0,12.455,
13,"Denmark",13221,"FK","FÃ¦lles Kurs","Common Course",1987,1987,0,2.1600001,
13,"Denmark",13229,"EL","Enhedslisten - De RÃ¸d-GrÃ¸nne","Red-Green Unity List",1994,2019,0,7.7989998,
13,"Denmark",13230,"SF","Socialistisk Folkeparti","Socialist Peopleâ€™s Party",1960,2019,0,14.577,
13,"Denmark",13320,"SD","Socialdemokratiet","Social Democratic Party",1945,2019,0,42.098,
13,"Denmark",13330,"CD","Centrum-Demokraterne","Centre Democrats",1973,2005,0,8.2770004,
13,"Denmark",13410,"RV","Det Radikale Venstre","Danish Social-Liberal Party",1945,2019,0,14.969,
13,"Denmark",13420,"V","Venstre","Liberals",1945,2019,0,31.25,
13,"Denmark",13421,"DU","De UafhÃ¦ngige","Independentsâ€™ Party",1953,1968,0,3.336,
13,"Denmark",13422,"LC","Liberalt Centrum","Liberal Centre",1966,1968,0,2.4760001,
13,"Denmark",13520,"K","Kristendemokraterne","Christian Democrats",1971,2005,0,5.336,
13,"Denmark",13620,"KF","Konservative Folkeparti","Conservative Peopleâ€™s Party",1945,2019,0,23.445,
13,"Denmark",13720,"DF","Dansk Folkeparti","Danish Peopleâ€™s Party",1998,2019,0,21.077999,
13,"Denmark",13730,"","Nye Borgerlige","The New Right",2019,2019,0,2.3559999,
13,"Denmark",13951,"FP","Fremskridtspartiet","Progress Party",1973,1998,0,15.894,
13,"Denmark",13952,"RF","Retsforbund","Justice Party",1945,1984,0,8.2159996,
13,"Denmark",13953,"DS","Dansk Samling","Danish Union",1945,1945,0,3.1110001,
14,"Finland",14110,"VL","VihreÃ¤ Liitto","Green Union",1983,2019,0,11.493,
14,"Finland",14221,"SKDL","Suomen Kansan Demokraattinen Liitto","Finnish Peopleâ€™s Democratic Union",1945,1987,0,23.471001,
14,"Finland",14222,"Deva","Demokraattinen Vaihtoehto","Democratic Alternative",1987,1987,0,4.2420001,
14,"Finland",14223,"VAS","Vasemmistoliitto","Left Wing Alliance",1991,2019,0,11.16,
14,"Finland",14310,"TPSL","TyÃ¤vÃ¤en ja PienviljelijÃ¤in Sosialdemokraattinen Liitto","Social Democratic League of Workers and Smallholders",1958,1966,0,4.3610001,
14,"Finland",14320,"SSDP","Suomen Sosialidemokraattinen Puolue","Finnish Social Democrats",1945,2019,0,28.250999,
14,"Finland",14420,"SK","Suomen Kansanpuolue","Finnish Peopleâ€™s Party",1945,1991,0,7.8839998,
14,"Finland",14430,"NSP","Nuorsuomalainen Puolue","Young Finnish Party",1995,1995,0,2.8069999,
14,"Finland",14440,"","Liike Nyt","Movement Now",2019,2019,0,2.253,
